candidate_id	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
g2_m1_g1_x2_mid_32_68_baseline_hook	MNQ	1	2026-02-07	2026-03-02	186.50	2	100.0000	83.7383	100.00
g2_m1_g1_x2_mid_32_68_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-61.91	5	40.0000	-1.1722	488.75
g2_m1_g1_x2_mid_32_68_baseline_hook	MNQ	3	2026-03-27	2026-04-19	254.46	3	66.6667	10.0738	98.50
g2_m1_g1_x2_mid_32_68_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-294.25	6	33.3333	-6.1882	460.04
g2_m1_g1_x2_mid_32_68_baseline_hook	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g2_m1_g1_x2_mid_32_68_baseline_hook	MES	0	2026-01-14	2026-02-06	-88.30	6	33.3333	-3.6868	153.30
g2_m1_g1_x2_mid_32_68_baseline_hook	MES	2	2026-03-03	2026-03-26	379.33	8	62.5000	8.3943	163.93
g2_m1_g1_x2_mid_32_68_baseline_hook	MES	3	2026-03-27	2026-04-19	-105.80	3	33.3333	-5.2442	172.68
g2_m1_g1_x2_mid_32_68_baseline_hook	MGC	0	2026-01-14	2026-02-06	504.54	3	33.3333	4.0342	516.00
g2_m1_g1_x2_mid_32_68_baseline_hook	MES	4	2026-04-20	2026-05-14	-35.62	3	33.3333	-3.4381	56.25
g2_m1_g1_x2_mid_32_68_baseline_hook	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g2_m1_g1_x2_mid_32_68_baseline_hook	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g2_m1_g1_x2_mid_32_68_baseline_hook	MGC	3	2026-03-27	2026-04-19	-193.50	1	0.0000	0.0000	328.00
g2_m1_g1_x2_mid_32_68_baseline_hook	MGC	4	2026-04-20	2026-05-14	-400.86	6	16.6667	-8.1721	578.86
